time;TraceabilityCode;Defect
2023-05-04 11:26:05;1010123124091718;Deformacja (deformation)
2023-05-04 08:56:33;1010223124065431;Deformacja (deformation)
2023-04-27 11:18:38;1010223117091150;Odciśnięte miejsce (marks)
2023-04-27 11:18:31;1010223117091142;Odciśnięte miejsce (marks)
2023-04-27 11:14:31;1010223117091115;Odciśnięte miejsce (marks)
2023-04-27 11:14:22;1010223117091049;Odciśnięte miejsce (marks)
2023-04-27 11:14:15;1010223117091039;Odciśnięte miejsce (marks)
2023-04-27 10:14:01;1010223117081022;Deformacja (deformation)
2023-04-27 09:46:03;1010223117061104;Deformacja (deformation)
2023-04-27 09:45:48;1010223117061246;Deformacja (deformation)
2023-04-27 09:45:37;1010223117061254;Deformacja (deformation)
2023-04-27 08:52:04;1010223117061246;Deformacja (deformation)
2023-04-27 08:51:53;1010223117061104;Deformacja (deformation)
2023-04-27 08:51:29;1010223117061238;Deformacja (deformation)
2023-04-25 07:28:22;1010123115052633;Rysa (scratch)
2023-04-25 07:28:11;1010123115052624;Rysa (scratch)
2023-04-25 07:27:58;1010123115052606;Rysa (scratch)
2023-04-25 07:27:47;1010123115052548;Rysa (scratch)
2023-04-25 07:27:39;1010123115052530;Rysa (scratch)
2023-04-25 07:20:54;1010123115051827;Odciśnięte miejsce (marks)
2023-04-25 07:20:45;1010123115051818;Odciśnięte miejsce (marks)
2023-04-25 07:20:35;1010123115051809;Odciśnięte miejsce (marks)
2023-04-25 07:18:19;1010123115051630;Pikos (marks/contamination)
2023-04-25 07:18:14;1010123115051621;Pikos (marks/contamination)
2023-04-25 07:18:10;1010123115051612;Pikos (marks/contamination)
2023-04-25 07:18:03;1010123115051603;Pikos (marks/contamination)
2023-04-25 07:17:57;1010123115051554;Pikos (marks/contamination)
2023-04-25 07:17:53;1010123115051545;Pikos (marks/contamination)
2023-04-25 07:17:47;1010123115051536;Pikos (marks/contamination)
2023-04-25 07:10:12;1010123115050117;Pikos (marks/contamination)
2023-04-25 07:03:52;1010123115050108;Pikos (marks/contamination)
2023-04-25 07:03:46;1010123115050059;Pikos (marks/contamination)
2023-04-25 07:03:40;1010123115050059;Pikos (marks/contamination)
2023-04-25 07:03:33;1010123115050050;Pikos (marks/contamination)
2023-04-25 07:03:26;1010123115050041;Pikos (marks/contamination)
2023-04-25 07:03:18;1010123115050032;Pikos (marks/contamination)
2023-04-25 07:03:11;1010123115050023;Pikos (marks/contamination)
2023-04-25 07:03:03;1010123115050014;Pikos (marks/contamination)
2023-04-25 07:02:56;1010123115050005;Pikos (marks/contamination)
2023-04-25 07:01:06;1010123115045853;Rysa (scratch)
2023-04-25 06:46:10;1010223115044355;Odciśnięte miejsce (marks)
2023-04-25 06:46:05;1010223115044347;Odciśnięte miejsce (marks)
2023-04-25 06:45:59;1010223115044330;Odciśnięte miejsce (marks)
2023-04-25 06:45:49;1010223115044330;Odciśnięte miejsce (marks)
2023-04-25 06:38:45;1010223115043643;Pikos (marks/contamination)
2023-04-25 06:38:40;1010223115043634;Pikos (marks/contamination)
2023-04-25 06:38:03;1010223115043616;Pikos (marks/contamination)
2023-04-25 06:37:58;1010223115043607;Pikos (marks/contamination)
2023-04-25 06:37:54;1010223115043558;Pikos (marks/contamination)
2023-04-25 06:37:49;1010223115043549;Pikos (marks/contamination)
2023-04-25 06:37:44;1010223115043540;Pikos (marks/contamination)
2023-04-25 06:37:28;1010223115043522;Pikos (marks/contamination)
2023-04-25 06:37:22;1010223115043513;Pikos (marks/contamination)
2023-04-25 06:37:16;1010223115043504;Pikos (marks/contamination)
2023-04-25 06:36:57;1010223115043455;Pikos (marks/contamination)
2023-04-25 06:36:51;1010223115043446;Pikos (marks/contamination)
2023-04-25 06:36:40;1010223115043437;Pikos (marks/contamination)
2023-04-25 06:36:33;1010223115043427;Pikos (marks/contamination)
2023-04-25 06:36:26;1010223115043418;Pikos (marks/contamination)
2023-04-25 06:36:21;1010223115043410;Pikos (marks/contamination)
2023-04-24 08:15:05;1010223114061208;Korozja (corrosion)
2023-04-24 08:14:57;1010223114061248;Deformacja (deformation)
2023-04-21 20:59:08;1010223111185414;Rysa (scratch)
2023-04-21 20:59:02;1010223111185406;Rysa (scratch)
2023-04-21 20:58:55;1010223111185357;Rysa (scratch)
2023-04-21 19:31:59;1010123111172054;Odciśnięte miejsce (marks)
2023-04-21 19:31:49;1010123111172054;Odciśnięte miejsce (marks)
2023-04-20 16:13:41;1010223110140649;Odciśnięte miejsce (marks)
2023-04-20 16:13:34;1010223110140547;Odciśnięte miejsce (marks)
